@RELATION spam
@ATTRIBUTE avg_RTs REAL
@ATTRIBUTE avg_favs REAL
@ATTRIBUTE bigram_control REAL
@ATTRIBUTE favorites REAL
@ATTRIBUTE followers REAL
@ATTRIBUTE friends REAL
@ATTRIBUTE geo_enabled REAL
@ATTRIBUTE mentions REAL
@ATTRIBUTE num_RTs REAL
@ATTRIBUTE num_hapexes REAL
@ATTRIBUTE num_hashtags REAL
@ATTRIBUTE num_links REAL
@ATTRIBUTE pct_hapexes REAL
@ATTRIBUTE screen_name_len REAL
@ATTRIBUTE status_count REAL
@ATTRIBUTE time_diff REAL
@ATTRIBUTE unigram_nospam REAL
@ATTRIBUTE unigram_spam REAL
@ATTRIBUTE unigram_total REAL
@ATTRIBUTE unique_bigrams REAL
@ATTRIBUTE Spam {True, False}
@DATA
7.9,0.1,75.5981394232,27,66,250,1,1,0,69,37,9,0.141104294479,15,186,1,145.28455636,142.662225306,145.491845985,0.87311827957, True
560.7,0.15,42.9077036819,1732,1165,938,0,1,0,57,14,7,0.156593406593,11,14477,1,88.0883328984,85.0640511818,87.3706525286,0.808383233533, True
4136.75,0.5,38.1456110394,1498,649,539,0,0,0,46,3,3,0.130681818182,13,3599,3,76.9029844218,74.5691582586,76.3694497535,0.805642633229, True
0.95,0.0,55.8049389612,511,820,933,1,2,0,68,14,16,0.15144766147,13,24958,0,116.950952826,113.920460569,116.359783346,0.78622327791, True
42.15,0.0,52.6473199954,4741,190,236,0,1,1,108,21,7,0.258992805755,8,10515,0,102.827142653,103.554491312,105.872143852,0.853092783505, True
0.35,0.7,65.2369345899,47,133,255,0,0,0,41,0,8,0.0876068376068,15,81,14,122.557318385,118.059479508,119.993467697,0.757369614512, True
1.75,0.45,51.2568017216,25,179,212,0,1,0,39,9,16,0.0984848484848,14,154,7,91.6313025564,88.2838215907,90.2384943065,0.72131147541, True
106.25,0.0,120.548152095,396,224,1509,0,1,1,14,62,20,0.021978021978,7,3899,0,153.823776163,152.462438193,152.203935896,0.31647634584, True
416.45,0.05,41.4392408346,228,88,610,0,2,0,71,7,0,0.213855421687,13,1034,4,96.228865962,93.5535815639,96.4719945986,0.934640522876, True
8.4,0.0,56.7965908017,1285,2378,463,1,0,0,71,14,18,0.195592286501,10,27248,0,101.43303293,100.132728823,102.423358991,0.825443786982, True
